Label: Vasto lateral direito: EMG 1->Scale->Math->Filter Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math->Filter [Volts]
3,302308e-001	3,096838e-005
3,307500e-001	3,095168e-005
3,312692e-001	3,092949e-005
3,317885e-001	3,090284e-005
3,323077e-001	3,086967e-005
3,328269e-001	3,083020e-005
3,333462e-001	3,078849e-005
3,338654e-001	3,074864e-005
3,343846e-001	3,071275e-005
3,349038e-001	3,068094e-005
3,354231e-001	3,064963e-005
3,359423e-001	3,061424e-005
3,364615e-001	3,057524e-005
3,369808e-001	3,053439e-005
3,375000e-001	3,049176e-005
3,380192e-001	3,044895e-005
3,385385e-001	3,040777e-005
3,390577e-001	3,036589e-005
3,395769e-001	3,031910e-005
3,400962e-001	3,026699e-005
3,406154e-001	3,021214e-005
3,411346e-001	3,015613e-005
3,416538e-001	3,009873e-005
3,421731e-001	3,003967e-005
3,426923e-001	2,997864e-005
3,432115e-001	2,991464e-005
3,437308e-001	2,984791e-005
3,442500e-001	2,977745e-005
3,447692e-001	2,970007e-005
3,452885e-001	2,961469e-005
3,458077e-001	2,952185e-005
3,463269e-001	2,942138e-005
3,468462e-001	2,931465e-005
3,473654e-001	2,920525e-005
3,478846e-001	2,909466e-005
3,484038e-001	2,898474e-005
3,489231e-001	2,888015e-005
3,494423e-001	2,878063e-005
3,499615e-001	2,868560e-005
3,504808e-001	2,859944e-005
3,510000e-001	2,852093e-005
3,515192e-001	2,844264e-005
3,520385e-001	2,836216e-005
3,525577e-001	2,828458e-005
3,530769e-001	2,821329e-005
3,535962e-001	2,814440e-005
3,541154e-001	2,807452e-005
3,546346e-001	2,800999e-005
3,551538e-001	2,795970e-005
3,556731e-001	2,792272e-005
3,561923e-001	2,788973e-005
3,567115e-001	2,785238e-005
3,572308e-001	2,780799e-005
3,577500e-001	2,775715e-005
3,582692e-001	2,770004e-005
3,587885e-001	2,763857e-005
3,593077e-001	2,757821e-005
3,598269e-001	2,752074e-005
3,603462e-001	2,746218e-005
3,608654e-001	2,739964e-005
3,613846e-001	2,733271e-005
3,619038e-001	2,726252e-005
3,624231e-001	2,718894e-005
3,629423e-001	2,711105e-005
3,634615e-001	2,703180e-005
3,639808e-001	2,695359e-005
3,645000e-001	2,687368e-005
3,650192e-001	2,678964e-005
3,655385e-001	2,670407e-005
3,660577e-001	2,662027e-005
3,665769e-001	2,653810e-005
3,670962e-001	2,645685e-005
3,676154e-001	2,637937e-005
3,681346e-001	2,631012e-005
3,686538e-001	2,625250e-005
3,691731e-001	2,621261e-005
3,696923e-001	2,619787e-005
3,702115e-001	2,620690e-005
3,707308e-001	2,622577e-005
3,712500e-001	2,624215e-005
3,717692e-001	2,625565e-005
3,722885e-001	2,626722e-005
3,728077e-001	2,627429e-005
3,733269e-001	2,627831e-005
3,738462e-001	2,628387e-005
3,743654e-001	2,628939e-005
3,748846e-001	2,629080e-005
3,754038e-001	2,629006e-005
3,759231e-001	2,628944e-005
3,764423e-001	2,629094e-005
3,769615e-001	2,630079e-005
3,774808e-001	2,632412e-005
3,780000e-001	2,636097e-005
3,785192e-001	2,640940e-005
3,790385e-001	2,646779e-005
3,795577e-001	2,653282e-005
3,800769e-001	2,659801e-005
3,805962e-001	2,665709e-005
3,811154e-001	2,670833e-005
3,816346e-001	2,675219e-005
3,821538e-001	2,678782e-005
3,826731e-001	2,681517e-005
3,831923e-001	2,683876e-005
3,837115e-001	2,686702e-005
3,842308e-001	2,690612e-005
3,847500e-001	2,695687e-005
3,852692e-001	2,701411e-005
3,857885e-001	2,707027e-005
3,863077e-001	2,712243e-005
3,868269e-001	2,716916e-005
3,873462e-001	2,720793e-005
3,878654e-001	2,723790e-005
3,883846e-001	2,725956e-005
3,889038e-001	2,727464e-005
3,894231e-001	2,728339e-005
3,899423e-001	2,728377e-005
3,904615e-001	2,727492e-005
3,909808e-001	2,725863e-005
3,915000e-001	2,723793e-005
3,920192e-001	2,721334e-005
3,925385e-001	2,718261e-005
3,930577e-001	2,714420e-005
3,935769e-001	2,710018e-005
3,940962e-001	2,705645e-005
3,946154e-001	2,701901e-005
3,951346e-001	2,698930e-005
3,956538e-001	2,696199e-005
3,961731e-001	2,693105e-005
3,966923e-001	2,689603e-005
3,972115e-001	2,685653e-005
3,977308e-001	2,680978e-005
3,982500e-001	2,675517e-005
3,987692e-001	2,669504e-005
3,992885e-001	2,663371e-005
3,998077e-001	2,657533e-005
4,003269e-001	2,652004e-005
4,008462e-001	2,646506e-005
4,013654e-001	2,641275e-005
4,018846e-001	2,636981e-005
4,024038e-001	2,633613e-005
4,029231e-001	2,630484e-005
4,034423e-001	2,627101e-005
4,039615e-001	2,623336e-005
4,044808e-001	2,619210e-005
4,050000e-001	2,615073e-005
4,055192e-001	2,611573e-005
4,060385e-001	2,609246e-005
4,065577e-001	2,608300e-005
4,070769e-001	2,608165e-005
4,075962e-001	2,607961e-005
4,081154e-001	2,607578e-005
4,086346e-001	2,607125e-005
4,091538e-001	2,606286e-005
4,096731e-001	2,604780e-005
4,101923e-001	2,602924e-005
4,107115e-001	2,601650e-005
4,112308e-001	2,601821e-005
4,117500e-001	2,603537e-005
4,122692e-001	2,605972e-005
4,127885e-001	2,608192e-005
4,133077e-001	2,610031e-005
4,138269e-001	2,611667e-005
4,143462e-001	2,613135e-005
4,148654e-001	2,614369e-005
4,153846e-001	2,615184e-005
4,159038e-001	2,615504e-005
4,164231e-001	2,615363e-005
4,169423e-001	2,614594e-005
4,174615e-001	2,613012e-005
4,179808e-001	2,610570e-005
4,185000e-001	2,607389e-005
4,190192e-001	2,603812e-005
4,195385e-001	2,600031e-005
4,200577e-001	2,595840e-005
4,205769e-001	2,591060e-005
4,210962e-001	2,585935e-005
4,216154e-001	2,580788e-005
4,221346e-001	2,575614e-005
4,226538e-001	2,570149e-005
4,231731e-001	2,564124e-005
4,236923e-001	2,557473e-005
4,242115e-001	2,550284e-005
4,247308e-001	2,542593e-005
4,252500e-001	2,534426e-005
4,257692e-001	2,526055e-005
4,262885e-001	2,517890e-005
4,268077e-001	2,509977e-005
4,273269e-001	2,501907e-005
4,278462e-001	2,493295e-005
4,283654e-001	2,484080e-005
4,288846e-001	2,474449e-005
4,294038e-001	2,464563e-005
4,299231e-001	2,454412e-005
4,304423e-001	2,444085e-005
4,309615e-001	2,433885e-005
4,314808e-001	2,423858e-005
4,320000e-001	2,413652e-005
4,325192e-001	2,402961e-005
4,330385e-001	2,391862e-005
4,335577e-001	2,380691e-005
4,340769e-001	2,369715e-005
4,345962e-001	2,358974e-005
4,351154e-001	2,348486e-005
4,356346e-001	2,338497e-005
4,361538e-001	2,329347e-005
4,366731e-001	2,321145e-005
4,371923e-001	2,313690e-005
4,377115e-001	2,306752e-005
