Label: Vasto lateral direito: EMG 1->Scale->Math Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math [Volts]
1,957500e-001	6,831968e-005
1,962692e-001	6,967590e-005
1,967885e-001	6,086046e-005
1,973077e-001	4,221241e-005
1,978269e-001	1,288411e-005
1,983462e-001	1,627466e-005
1,988654e-001	3,237980e-005
1,993846e-001	3,068452e-005
1,999038e-001	8,645915e-006
2,004231e-001	1,474891e-005
2,009423e-001	1,796994e-005
2,014615e-001	3,221027e-006
2,019808e-001	1,000214e-005
2,025000e-001	8,476387e-007
2,030192e-001	2,322530e-005
2,035385e-001	3,441413e-005
2,040577e-001	3,746563e-005
2,045769e-001	4,560296e-005
2,050962e-001	4,831541e-005
2,056154e-001	3,390555e-005
2,061346e-001	9,832609e-006
2,066538e-001	8,645915e-006
2,071731e-001	8,306859e-006
2,076923e-001	2,254719e-005
2,082115e-001	5,950423e-005
2,087308e-001	7,425314e-005
2,092500e-001	4,831541e-005
2,097692e-001	1,898710e-005
2,102885e-001	2,966735e-005
2,108077e-001	6,119951e-005
2,113269e-001	6,865873e-005
2,118462e-001	5,340124e-005
2,123654e-001	3,237980e-005
2,128846e-001	1,034119e-005
2,134038e-001	1,830899e-005
2,139231e-001	4,373815e-005
2,144423e-001	5,814801e-005
2,149615e-001	6,391196e-005
2,154808e-001	5,916518e-005
2,160000e-001	4,475532e-005
2,165192e-001	2,593774e-005
2,170385e-001	5,085832e-007
2,175577e-001	2,542916e-005
2,180769e-001	1,627466e-005
2,185962e-001	2,017380e-005
2,191154e-001	4,865446e-005
2,196346e-001	4,153430e-005
2,201538e-001	1,525750e-006
2,206731e-001	3,644846e-005
2,211923e-001	4,136477e-005
2,217115e-001	3,136263e-005
2,222308e-001	2,593774e-005
2,227500e-001	1,491844e-005
2,232692e-001	2,034333e-006
2,237885e-001	1,135836e-005
2,243077e-001	1,610514e-005
2,248269e-001	2,848066e-005
2,253462e-001	5,001068e-005
2,258654e-001	7,086259e-005
2,263846e-001	7,628748e-005
2,269038e-001	6,018235e-005
2,274231e-001	4,000855e-005
2,279423e-001	3,322744e-005
2,284615e-001	1,915663e-005
2,289808e-001	1,305364e-005
2,295000e-001	3,102357e-005
2,300192e-001	2,237766e-005
2,305385e-001	5,255360e-006
2,310577e-001	7,289692e-006
2,315769e-001	4,916305e-006
2,320962e-001	8,645915e-006
2,326154e-001	4,238194e-006
